id,emb,label,name,community
0,"[0.0016614404739812016, -2.7533189495443366e-05, -0.003683230606839061, -0.003519850317388773, 0.0073557887226343155, -0.0025136435870081186, -0.004900566767901182, 0.0008608383941464126, 0.002582248765975237, -0.0008418443612754345, 0.0075951083563268185, -0.00198314618319273, -0.006340586580336094, -0.0034974224399775267, 0.003291750093922019, -0.007185120135545731, -0.0009125921642407775, 0.007114594802260399, -0.005389006808400154, 0.008184091188013554, -0.00639923382550478, 0.00479132030159235, 0.007822788320481777, 0.0035702940076589584, -0.004704136401414871, 0.0006685818079859018, -0.0010336072882637382, 0.005735704209655523, -0.0026492844335734844, -0.004505758639425039, -0.0040227752178907394, -0.006186348851770163, -0.0028326029423624277, -0.005764520727097988, -0.00026564105064608157, 0.004671166185289621, 0.0056002577766776085, -0.00704214395955205, 0.0004185959114693105, -0.0008183291647583246, 0.007410278078168631, -0.007201149594038725, 0.001993355806916952, -0.004858105443418026, -0.005193616263568401, -0.0009311058092862368, -0.00877772830426693, 0.007287262007594109, 0.004090583883225918, 0.004683850798755884, 0.001675484818406403, 0.006648049224168062, -0.005393789615482092, 0.007806295063346624, -0.002298003528267145, 0.005934640299528837, -0.0017374391900375485, -0.0070115323178470135, 0.002042295876890421, 0.005646781995892525, 0.0001498230849392712, 0.002262469846755266, -0.00509119825437665, -0.006445985287427902]",Singer,Tường Văn,8
1,"[0.0004919274942949414, -0.0067105707712471485, 0.0014679152518510818, 0.005659651476889849, 0.005409891717135906, -0.0024025358725339174, -0.0001916180335683748, 0.003302972065284848, -0.001407136209309101, -0.0006218391936272383, 0.00035829428816214204, 0.0035953964106738567, 0.00021280170767568052, 0.003337342757731676, 0.0073355622589588165, 0.0018160357140004635, 0.005403739865869284, -0.004552103579044342, -0.002800287678837776, 0.0063833799213171005, 0.007472837343811989, 0.005438485648483038, -0.005797237623482943, -0.001870331121608615, 0.00041850312845781446, 0.0020732434932142496, 0.001274304697290063, 0.00653893081471324, -0.005709592252969742, 0.0055166492238640785, -0.0035961803514510393, 0.003943813964724541, -0.0021375834476202726, -0.005985014606267214, -0.000691299035679549, -0.005432742182165384, -0.005807705223560333, -0.0013688961043953896, -0.001754677388817072, -0.0024599842727184296, 0.0022286369930952787, 0.0076450458727777, 0.004240573383867741, 0.001194636570289731, -0.008065832778811455, 0.006749322637915611, 0.0037794318050146103, -0.0059340596199035645, -0.006333379540592432, -0.001266281120479107, -0.0060899388045072556, 0.005012174136936665, 0.0065922848880290985, 0.0025395636912435293, -0.0066148266196250916, 2.7455644158180803e-05, 0.004760327748954296, -0.003962547518312931, 0.00424770824611187, 0.007340193726122379, -0.004972750321030617, 0.006069670896977186, -0.007687440142035484, 0.003074375679716468]",Singer,Minh Quân,9
2,"[0.0048354254104197025, -0.005499345250427723, -0.004426406696438789, 0.003860565833747387, -0.004642347805202007, 0.007988725788891315, -0.006049902644008398, 0.005244214553385973, -0.00024342560209333897, -0.001466442714445293, 0.0025070838164538145, 0.006782564800232649, 0.004120158962905407, -0.004508477170020342, 0.0017014304175972939, -0.0008091417839750648, -0.0029241861775517464, 0.003866794053465128, -0.0028309973422437906, -0.005744459107518196, 0.0012503559701144695, -0.005075954832136631, -0.0006912858225405216, -0.003880871459841728, -0.002500771777704358, 0.008302916772663593, 0.002314165933057666, 0.0018103135516867042, -0.0005012874607928097, -0.009274454787373543, 0.006154624279588461, -0.0030309935100376606, 0.0035294280387461185, -0.007057486567646265, -0.005655188113451004, 0.0039383601397275925, -0.0056326501071453094, -0.002662085462361574, -0.0007187944720499218, 0.005219011101871729, -0.007245970424264669, -0.002677996177226305, -0.008297587744891644, 1.852947025327012e-05, -0.0009548808448016644, 0.004444084595888853, 0.0045286365784704685, -0.007426584139466286, -0.0034657111391425133, 0.005803544539958239, -0.003671726444736123, 0.0022889242973178625, -0.003365714568644762, -0.007039861287921667, -0.005682393908500671, 0.0029434924945235252, 0.001330433413386345, -0.004785122815519571, -0.0025995660107582808, -0.0027765966951847076, 0.002365098800510168, -0.00038797518936917186, -0.0066008539870381355, 0.004510094877332449]",Singer,Quốc Trung,0
3,"[0.007384106051176786, -0.00796933937817812, -0.007299932651221752, 0.001961667323485017, -0.007160306442528963, -0.004459005780518055, 0.006296426989138126, 0.0006728980224579573, 0.0035613011568784714, -0.0010720662539824843, -0.0023150467313826084, -0.007713360711932182, -0.001767405541613698, 0.0039188070222735405, -0.0008914556819945574, -0.0012442120350897312, -0.0077711776830255985, -0.0009043696336448193, -0.005234199110418558, -0.004628194496035576, -0.005142038222402334, 0.0031067689415067434, 0.0033212287817150354, -0.007167082279920578, 0.007650543004274368, -0.00014770230336580426, -0.004251162055879831, 0.004511415027081966, 0.0054070050828158855, 0.0016981759108603, -0.005225500091910362, -0.00015156384324654937, -0.005261409096419811, -0.0045719933696091175, 0.0014552577631548047, -0.003348324680700898, 0.0004186407313682139, 0.006432991940528154, 0.00463904207572341, -0.0002609680232126266, -0.0031175340991467237, -0.004494363907724619, -0.0013665753649547696, 0.004387877881526947, -0.003395160660147667, 0.003573139663785696, -0.0012791355838999152, 0.006718612741678953, 0.0014802132500335574, -0.003041746560484171, -0.00574474735185504, 0.008600582368671894, -0.002898154314607382, -0.002717026509344578, 0.0016979024512693286, -0.00037538495962508023, 0.004976554773747921, 0.005091567523777485, -0.0005395366461016238, 0.008649887517094612, 0.00468105636537075, 0.00024437493993900716, -0.001916100038215518, 0.0012921781744807959]",Singer,Nhật Ngân,6
4,"[0.004598742350935936, -0.0040425024926662445, 0.0019125166581943631, -0.0017260730965062976, -1.6864851204445586e-05, 0.007780053187161684, -0.001598583534359932, -0.00045367670827545226, 0.004324999637901783, -0.0009924685582518578, -0.0014536787057295442, -0.0026419200003147125, 0.0011494142236188054, -0.005385477561503649, 0.006054899655282497, -0.0026952382177114487, 0.0033180357422679663, -0.006651253439486027, -0.0066337487660348415, -0.0007181241526268423, 0.006444151978939772, -0.0069661568850278854, 0.007017485797405243, 0.00618488434702158, 0.0078304847702384, 0.0037357076071202755, -0.0026348645333200693, 0.00035708516952581704, -0.004449558909982443, 0.004790677689015865, 0.00373099441640079, 0.007379357237368822, 0.00023071178293321282, -0.006673069205135107, -0.004417054355144501, 0.005927002988755703, -0.0011222255416214466, 0.004055279307067394, 0.0046984474174678326, 0.003202633233740926, 0.004342345055192709, 0.0012676279293373227, 0.002939043566584587, -0.0008184337639249861, 0.002178178634494543, 0.002309005707502365, -0.0008172068628482521, 0.005226448643952608, 0.002432825043797493, 0.005019616335630417, -0.0028290115296840668, 0.0014049841556698084, 0.004631806630641222, 0.0038865155074745417, 0.005464239977300167, 0.0005497124511748552, 0.003208851208910346, 0.0033286672551184893, -0.00584454694762826, -0.005176251288503408, -0.002715887501835823, 0.006990713533014059, -0.0032115241046994925, 0.003438136074692011]",Singer,Đức Trí,0
5,"[0.001159802544862032, 0.00230704084970057, 0.005624969489872456, -0.00783925037831068, -0.002743181074038148, 0.0057607972994446754, 0.00395533163100481, 0.003050636500120163, 0.002648815279826522, -0.00099149567540735, -0.007158349733799696, 0.0008259885362349451, -0.006130617577582598, 0.003970276098698378, -0.0033314982429146767, 0.0069518918171525, -0.006158264819532633, -0.001665322226472199, -0.004549555480480194, -0.0023985172156244516, 0.005198463797569275, -0.004948560614138842, -0.0036541582085192204, 0.0007660154951736331, -0.005978614091873169, 0.005294999107718468, -0.001880028983578086, 0.001305331476032734, 0.00557390321046114, -0.0019934214651584625, 0.005032612010836601, 0.0031909113749861717, 0.0031948674004524946, -0.005045066587626934, -0.0044556003995239735, -0.003578672418370843, 0.00503205694258213, -0.007095637731254101, 0.0025615261401981115, 0.004561505746096373, -0.0005896681686863303, -0.0017269144300371408, 0.005001814570277929, -0.007928797975182533, 0.0008220686577260494, -0.005940462928265333, -0.004037924576550722, 0.006725230719894171, -0.006190546788275242, -0.0016358478460460901, 0.004510735627263784, 0.001149481046013534, 0.0002536918909754604, -0.002047005109488964, 0.000467538891825825, -0.0058021824806928635, -0.005176981445401907, 0.005893557332456112, -0.003022582735866308, -0.003001162316650152, -0.0072324215434491634, -0.0028540173079818487, -0.004312433302402496, -0.003587850369513035]",Singer,Tăng Nhật Tuệ,0
6,"[0.004103498067706823, 0.0070949518121778965, -0.0007988660363480449, 0.006693447008728981, 0.002633162308484316, 0.0023605001624673605, -0.0011062161065638065, 0.0019715288653969765, 0.004810348153114319, -0.002326561603695154, -0.006911635398864746, 0.004595183301717043, -0.0035681016743183136, -0.0044953664764761925, 0.004599692765623331, 0.0007812076946720481, 0.0006789800245314837, 0.006751884240657091, -0.005705826450139284, 0.004201536066830158, -0.0003343255666550249, -0.0003343355201650411, 0.00041563279228284955, -0.0025976456236094236, -0.007098441943526268, -0.004964989610016346, -0.0019428939558565617, -0.006835480220615864, -0.00558633916079998, -0.00017911975737661123, -0.0010415681172162294, -0.005998222157359123, 0.00671374099329114, -0.005166823044419289, 0.006785261910408735, 0.005706361960619688, 0.0020932694897055626, 0.006095291115343571, 0.003129439428448677, -0.0065174829214811325, 0.0063003115355968475, 0.006191881373524666, -0.006324806250631809, 0.007155059836804867, 0.005131580401211977, 0.0075983009301126, -0.0027572684921324253, 0.006414918694645166, -0.004050984978675842, 0.005239340476691723, 0.0076605635695159435, -0.0017737881280481815, 0.005326019134372473, 0.00709536811336875, 0.0016283274162560701, -0.0043763271532952785, -0.006805474869906902, 0.00470083300024271, 0.0062258122488856316, 0.0025039617903530598, -0.00047749781515449286, 0.003999441862106323, -0.004584748763591051, -0.0006771733169443905]",Singer,Hương Tràm,5
7,"[0.00772585766389966, 0.003818633034825325, -0.0036865603178739548, 0.006680889055132866, 0.0021671263966709375, 0.005608975887298584, -0.0036422170232981443, -0.0030724520329385996, -0.008545414544641972, -0.002281620167195797, 0.003937005531042814, 0.005922048818320036, -0.008765499107539654, -0.0005382865783758461, 0.0027966047637164593, 0.0029899822548031807, -0.0007622617995366454, 0.0007887185784056783, 0.008198613300919533, 0.000421798147726804, -0.008546448312699795, -0.00657283840700984, 0.0031611649319529533, -0.002464737044647336, 0.003949366509914398, 0.002510524820536375, -0.004626031033694744, 0.000564253656193614, 0.0011663411278277636, -0.004455110989511013, 0.002882380038499832, -0.00141437747515738, -0.0021378721576184034, -0.005239455960690975, -0.0006905649206601083, 0.0012218308402225375, -0.003979902248829603, -0.0016329697100445628, -0.007013835944235325, 0.007705239113420248, -0.004475293215364218, 0.0023733549751341343, -0.0013912529684603214, -0.005627876613289118, 0.0029335145372897387, -0.006231873296201229, 0.003377816639840603, 0.003160904161632061, -0.0032890094444155693, -0.0020938341040164232, 0.0054401494562625885, 0.0032631189096719027, 0.004243609961122274, 0.004783359821885824, -0.0034767184406518936, 0.007144910283386707, -0.000752906606066972, -0.001170222065411508, -0.008715972304344177, -0.004640466999262571, 0.0048256320878863335, 0.004672280512750149, 0.0006643274682573974, -0.005327755585312843]",Singer,Trần Tiến,4
8,"[0.003410159610211849, 0.0073439027182757854, 0.006011251360177994, -0.00013834430137649179, 0.007754056714475155, 0.0014030319871380925, 0.005080921575427055, -0.003953057806938887, -0.0048237270675599575, -0.0002453851338941604, 0.006514399778097868, -0.006427244748920202, -0.005772840231657028, -0.005801483988761902, -0.003268614411354065, 0.0006425604806281626, 0.008363984525203705, -0.0038025674875825644, 0.0047680689021945, 0.007167541887611151, 0.003121171146631241, -0.0026491039898246527, -0.007700709626078606, -0.006608675234019756, 0.0016162297688424587, 0.00671631284058094, -0.007931978441774845, -0.006673312745988369, 0.006627368740737438, -0.004434795584529638, -0.002915542107075453, 0.007201485335826874, 0.0026323101483285427, -0.003345767268911004, -0.0032433089800179005, -0.006819527130573988, -0.004098160658031702, -0.0034059914760291576, -0.006613307632505894, -0.0030230353586375713, 0.002319680294021964, -0.009181858971714973, 0.0053685628809034824, -0.006950539071112871, -0.004304701928049326, 0.004627463407814503, 0.008007700555026531, 0.0027535732369869947, -8.438060467597097e-05, 0.004725416656583548, 0.006629222072660923, -0.0017227230127900839, -0.0055581736378371716, -0.002477996749803424, -0.003205173881724477, -0.006929720751941204, -0.0076431152410805225, -0.002156459027901292, 0.002929080743342638, 0.0017114549409598112, -0.0034292289055883884, -0.003942110110074282, 0.00021796768123749644, -0.0006028924253769219]",Singer,Lyly,8
9,"[0.005285963881760836, -0.002614363795146346, -0.005438061431050301, -0.0036307224072515965, 0.004687786102294922, 0.0011374392779543996, -0.007570740766823292, -0.0016925371019169688, 0.006062531843781471, -0.0011915260693058372, 0.0012252203887328506, -0.0018230249406769872, 0.004284346476197243, 0.0026211824733763933, -0.0022131416480988264, -0.005945391487330198, -0.0037852420937269926, 0.000850314274430275, -0.007882105186581612, 0.005370655562728643, 0.0013719901908189058, -0.002793526742607355, -0.003649862017482519, 0.0018501754384487867, 0.006015427876263857, -0.008515773341059685, -0.006418808829039335, -0.004968625959008932, 0.0023183885496109724, 0.005783678963780403, -0.00039400061359629035, -0.0010459128534421325, 0.0033002879936248064, -0.0033081364817917347, -0.0049421400763094425, -0.0012251054868102074, -0.0017059972742572427, 0.0004317420534789562, 0.006648420821875334, -0.005439358297735453, -0.00310704717412591, 0.004416727926582098, 0.00590866943821311, -0.0015926671912893653, -0.007867745123803616, -0.0016788119683042169, 0.0005472642369568348, 0.004223851021379232, 0.004879374522715807, -0.0037823645398020744, 0.0010025911033153534, -0.0024547011125832796, -0.008127753622829914, -0.005673881620168686, 0.006878605578094721, 0.00197358219884336, -0.00022057603928260505, 0.0009514730772934854, 0.004432992078363895, 0.0004441388591658324, 0.0031719598919153214, 0.0009866488398984075, -5.448033334687352e-06, 0.005852567497640848]",Singer,Trường Sa,2
